case_id,status,candidates_generated,candidates_rejected,payload_layout,battery_layout,battery_orientation,electronics_layout,payload_x_m,battery_x_m,gps_x_m,overlap_violation,emi_violation,score
FW-051,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.593,0.952,1.071,NO,NO,-0.8935
FW-052,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-053,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-054,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.831,1.334,1.454,NO,NO,-0.8935
FW-055,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-056,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-057,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.586,0.94,1.06,NO,NO,-0.8935
FW-058,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.659,1.057,1.177,NO,NO,-0.8935
FW-059,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-060,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-061,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.622,0.998,1.119,NO,NO,-0.8935
FW-062,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.598,0.96,1.079,NO,NO,-0.8935
FW-063,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-064,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.741,1.19,1.309,NO,NO,-0.8935
FW-065,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.792,1.272,1.392,NO,NO,-0.8935
FW-066,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-067,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-068,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-069,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-070,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-071,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-072,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-073,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-074,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-075,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-076,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-077,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-078,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-079,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-080,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-081,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.602,0.967,1.087,NO,NO,-0.8935
FW-082,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.228,0.367,0.487,NO,NO,-0.8935
FW-083,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-084,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-085,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.841,1.349,1.47,NO,NO,-0.8935
FW-086,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-087,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-088,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.71,1.139,1.259,NO,NO,-0.8935
FW-089,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-090,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-091,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-092,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-093,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-094,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.273,0.437,0.557,NO,NO,-0.8935
FW-095,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.365,0.585,0.705,NO,NO,-0.8935
FW-096,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-097,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.547,0.877,0.997,NO,NO,-0.8935
FW-098,SUCCESS,36,12,Forward,Mid,Longitudinal,Side Mounted,0.194,0.312,0.432,NO,NO,-0.8935
FW-099,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
FW-100,SUCCESS,36,0,Forward,Mid,Longitudinal,Side Mounted,0.851,1.365,1.485,NO,NO,-0.8935
