case_id,success,evaluated_count,rejected_count,optimal_ar,optimal_taper,optimal_sweep,optimal_dihedral,optimization_score,wing_area_m2,wing_span_m,root_chord_m,tip_chord_m,mac_m,wing_loading_kg_m2
FW-077,FAILED,5292,5292,,,,,,,,,,,
FW-078,FAILED,5292,5292,,,,,,,,,,,
FW-079,FAILED,5292,5292,,,,,,,,,,,
FW-080,FAILED,5292,5292,,,,,,,,,,,
FW-081,FAILED,5292,5292,,,,,,,,,,,
FW-082,SUCCESS,5292,0,9.0,0.35,0.0,0.0,-0.4239,0.4575,2.029,0.334,0.117,0.243,13.66
FW-083,FAILED,5292,5292,,,,,,,,,,,
FW-084,FAILED,5292,5292,,,,,,,,,,,
FW-085,FAILED,5292,5292,,,,,,,,,,,
FW-086,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.4457,0.355,1.685,0.312,0.109,0.227,13.66
FW-087,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.3959,0.3733,1.932,0.286,0.1,0.208,13.66
FW-088,FAILED,5292,5292,,,,,,,,,,,
FW-089,SUCCESS,5292,0,9.0,0.35,0.0,0.0,-0.4201,0.2306,1.44,0.237,0.083,0.172,13.66
FW-090,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.4915,0.3696,1.72,0.318,0.112,0.232,13.66
FW-091,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.8588,0.366,1.913,0.283,0.099,0.206,13.66
FW-092,FAILED,5292,5292,,,,,,,,,,,
FW-093,SUCCESS,5292,0,9.0,0.35,0.0,0.0,-0.4439,0.366,1.815,0.299,0.105,0.217,13.66
FW-094,SUCCESS,5292,0,8.0,0.35,0.0,0.0,-0.3963,0.5489,2.096,0.388,0.136,0.282,13.66
FW-095,SUCCESS,5292,2352,8.0,0.35,0.0,0.0,-0.3681,0.7319,2.42,0.448,0.157,0.326,13.66
FW-096,FAILED,5292,5292,,,,,,,,,,,
FW-097,SUCCESS,5292,4704,8.0,0.35,0.0,0.0,-0.4095,1.0979,2.964,0.549,0.192,0.399,13.66
FW-098,SUCCESS,5292,0,10.0,0.35,0.0,0.0,-0.4323,0.366,1.913,0.283,0.099,0.206,13.66
FW-099,FAILED,5292,5292,,,,,,,,,,,
FW-100,FAILED,5292,5292,,,,,,,,,,,
